(487, 822, 707, 837)
(1200, 807, 1406, 822)
(1356, 4, 1426, 16)
(1172, 247, 1430, 357)
(996.0625, 4, 1073.0625, 18)
(1309, 137, 1429, 153)
(487, 761, 707, 776)
(953, 787, 1173, 802)
(1200, 761, 1406, 776)
(1186, 784, 1406, 799)
(967, 764, 1173, 779)
(720, 761, 940, 776)
(1208, 393, 1428, 409)
(734, 830, 940, 845)
(501, 845, 707, 860)
(1186, 853, 1406, 868)
(720, 784, 940, 799)
(1200, 784, 1406, 799)
(734, 807, 940, 822)
(720, 713, 940, 730)
(1200, 738, 1406, 753)
(1196, 393, 1428, 409)
(1202, 46, 1388, 62)
(1202, 62, 1388, 77)
(967, 741, 1173, 756)
(734, 784, 940, 799)
(720, 830, 940, 845)
(460, 236, 1111, 279)
(1186, 876, 1406, 891)
(1162, 112, 1430, 182)
(1208, 409, 1428, 439)
(1163, 137, 1307, 181)
(1196, 491, 1428, 507)
(474, 8, 614, 148)
(1186, 807, 1406, 822)
(522.59375, 961, 646.59375, 989)
(1168, 243, 1434, 548)
(487, 713, 707, 730)
(1200, 899, 1406, 914)
(649, 42, 1009, 132)
(487, 784, 707, 814)
(494, 82, 608, 133)
(967, 787, 1173, 802)
(498, 236, 1149, 639)
(1196, 377, 1428, 393)
(1356, 19, 1426, 31)
(1200, 830, 1406, 845)
(859.984375, 4, 991.984375, 18)
(487, 693, 1446, 914)
(1309, 153, 1429, 169)
(1202, 77, 1388, 92)
(812.59375, 961, 932.59375, 1006)
(501, 822, 707, 837)
(1200, 876, 1406, 891)
(1200, 853, 1406, 868)
(953, 713, 1173, 733)
(1186, 713, 1406, 730)
(1208, 491, 1428, 507)
(501, 761, 707, 776)
(734, 738, 940, 753)
(666.828125, 152, 856.828125, 192)
(734, 761, 940, 776)
(1186, 738, 1406, 753)
(1196, 409, 1428, 439)
(861.65625, 152, 1055.65625, 192)
(494, 152, 662, 192)
(1196, 473, 1428, 491)
(1168, 591, 1434, 651)
(1186, 899, 1406, 914)
(1196, 455, 1428, 473)
(796.4375, 4, 856.4375, 18)
(946.59375, 961, 1089.59375, 1006)
(1208, 455, 1428, 473)
(501, 738, 707, 753)
(1186, 830, 1406, 845)
(1208, 473, 1428, 491)
(1196, 439, 1428, 455)
(494, 8, 608, 82)
(1168, 216, 1434, 243)
(487, 738, 707, 753)
(1168, 568, 1434, 651)
(1163, 113, 1429, 133)
(1186, 761, 1406, 776)
(649, 42, 1009, 132)
(487, 845, 707, 860)
(1160, 40, 1430, 104)
(660.59375, 961, 798.59375, 986)
(1208, 439, 1428, 455)
(1103.59375, 961, 1221.59375, 1001)
(953, 764, 1173, 779)
(1077.15625, 4, 1168.15625, 18)
(1208, 377, 1428, 393)
(720, 807, 940, 822)
(720, 738, 940, 753)
(953, 741, 1173, 756)
(1171.578125, 4, 1267.578125, 18)
(501, 784, 707, 814)
