(1142, 294.90625, 1225, 327.90625)
(1545, 73, 1585, 87)
(700, 186, 800, 266)
(1737, 73, 1773, 87)
(1352, 73, 1421, 87)
(1853, 84, 1873, 98)
(1838.09375, 16, 1888.09375, 33)
(1680.09375, 16, 1738.09375, 33)
(1159, 63, 1276, 97)
(1545, 73, 1585, 87)
(1352, 73, 1421, 87)
(1680.09375, 16, 1738.09375, 33)
(1142, 294.90625, 1225, 327.90625)
(1853, 84, 1873, 98)
(1737, 73, 1773, 87)
(1838.09375, 16, 1888.09375, 33)
(1159, 63, 1276, 97)
(700, 186, 800, 266)
(1680.09375, 16, 1738.09375, 33)
(1737, 73, 1773, 87)
(700, 186, 800, 266)
(1159, 63, 1276, 97)
(1545, 73, 1585, 87)
(1838.09375, 16, 1888.09375, 33)
(1142, 294.90625, 1225, 327.90625)
(1853, 84, 1873, 98)
(1352, 73, 1421, 87)
