,0
accuracy,0.026041666666666668
precision,1.0
recall,0.026041666666666668
f1,0.050761421319796954
confusion_matrix,"[[  0   0]
 [187   5]]"
total_samples,192
phishing_samples,192
benign_samples,0
false_positives,"Empty DataFrame
Columns: [website, url, prediction, pred_target, matched_domain, confidence, runtime, New Folder Name, URL, label]
Index: []"
false_negatives,"                                  website  ... label
0                      overstockmiami.com  ...     1
1                     www.justlookapp.com  ...     1
2            u786324cnd.ha004.t.justns.ru  ...     1
3                 solucaoagrorural.com.br  ...     1
4                      medicaredirect.com  ...     1
..                                    ...  ...   ...
187          u721123seu.ha004.t.justns.ru  ...     1
188                 edenrosejewellery.com  ...     1
189                      www.saequity.com  ...     1
190                leadflowgeneration.com  ...     1
191  ameli-account-connection.agip.net.pe  ...     1

[187 rows x 10 columns]"
