Site Folder,url,Multimodal_Decision,Image Phish Score,Image_Decision,Text Phish Score,Text_Decision,Image Features,Text Features,Fused Features
facebook.com.awed.xyz,http://facebook.com.awed.xyz/f/login.php,phishing,1.0,1,0.2,0,1.00|1.00|0.96|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.2393|0.2393|0.2290|0.2393|0.2393|0.2393|0.0000|0.1915|0.0003|0.0000|0.0000|0.0000|0.2393|0.0000|0.2393|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.3000
ebay.com.m.1itnn.com,http://ebay.com.m.1itnn.com/itm/2016-Ez-go-RXV-48V/66435234762/u/14914846/,benign,0.0,0,0.2,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.20,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.7000
abantumarket.co.za,http://abantumarket.co.za/wp-content/plugins/js_composer/rad/7b968e3c6067a8cb7044c44deafe3787/,phishing,1.0,1,0.7,1,1.00|1.00|0.96|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2392|0.2392|0.2301|0.2392|0.2392|0.2392|0.0000|0.1913|0.0009|0.0000|0.0000|0.0000|0.2392|0.0000|0.2392|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
event.pubgcompany.com,http://event.pubgcompany.com/login/facebook,phishing,1.0,1,0.37,0,1.00|1.00|0.99|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.37,0.2385|0.2385|0.2358|0.2385|0.2385|0.2385|0.0000|0.1908|0.0007|0.0000|0.0000|0.0000|0.2385|0.0000|0.2385|0.0000|0.0000|0.2053|0.0000|0.2053|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0754
1cdaf644-ad3d-4b5e-9225-8751dbe9c11a.godaddysites.com,https://1cdaf644-ad3d-4b5e-9225-8751dbe9c11a.godaddysites.com/,phishing,1.0,1,0.53,1,1.00|1.00|0.98|1.00|1.00|0.00|1.00|0.80|0.12|0.00|0.00|0.00|1.00|0.00|1.00,0.00|0.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.53,0.2385|0.2385|0.2337|0.2385|0.2385|0.0000|0.2385|0.1908|0.0282|0.0000|0.0000|0.0000|0.2385|0.0000|0.2385|0.0000|0.0000|0.1655|0.0000|0.1655|0.1655|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0882
login.live.com.office.flagstarbancorp.myshn.net,https://login.live.com.office.flagstarbancorp.myshn.net/cookiesDisabled.srf?uaid=c9e2b063d2b84b09a56154b179d69121&mkt=EN-US&lc=1033,phishing,0.6,0,0.72,1,1.00|1.00|0.97|1.00|0.00|0.00|1.00|0.80|0.00|0.00|0.00|0.00|0.00|0.00|0.60,0.00|1.00|1.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.72,0.2872|0.2872|0.2783|0.2872|0.0000|0.0000|0.2872|0.2298|0.0006|0.0000|0.0000|0.0000|0.0000|0.0000|0.1723|0.0000|0.1411|0.1411|0.0000|0.1411|0.1411|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1017
bsfga.net,http://bsfga.net/Invoice/toda/,benign,0.0,0,0.24,0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,0.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.24,0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.6804|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1646
pt.999wordpressdesign.com,https://pt.999wordpressdesign.com/drrr/post/china/logistics/index.php,phishing,1.0,1,0.7,1,1.00|1.00|0.94|1.00|1.00|1.00|1.00|0.80|0.03|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2267|0.2267|0.2140|0.2267|0.2267|0.2267|0.2267|0.1814|0.0059|0.0000|0.0000|0.0000|0.2267|0.0000|0.2267|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
www.aislacontrol.com,http://www.aislacontrol.com/modules/1nd/a,phishing,1.0,1,0.62,1,1.00|1.00|0.92|1.00|1.00|0.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.62,0.2558|0.2558|0.2357|0.2558|0.2558|0.0000|0.0000|0.2046|0.0012|0.0000|0.0000|0.0000|0.2558|0.0000|0.2558|0.1632|0.1632|0.1632|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1007
dropbox.bilgenart.com_duplicate,https://dropbox.bilgenart.com/e29f44204e175c37db77737801972870/login.php?cmd=login_submit&amp;id=5adbd2a58409ecee68810a99440cf4d15adbd2a58409ecee68810a99440cf4d1&amp;session=5adbd2a58409ecee68810a99440cf4d15adbd2a58409ecee68810a99440cf4d1,phishing,1.0,1,0.7,1,1.00|1.00|0.97|1.00|1.00|1.00|1.00|0.80|0.01|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|0.00|0.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.70,0.2262|0.2262|0.2189|0.2262|0.2262|0.2262|0.2262|0.1810|0.0024|0.0000|0.0000|0.0000|0.2262|0.0000|0.2262|0.1416|0.1416|0.0000|0.0000|0.1416|0.1416|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0991
shadetreetechnology.com,http://shadetreetechnology.com/V4/validation/bf32e18dc44adb14ca4e70b510e6aea6,phishing,1.0,1,0.62,1,1.00|1.00|0.95|1.00|1.00|1.00|0.00|0.80|0.00|0.00|0.00|0.00|1.00|0.00|1.00,1.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.62,0.2394|0.2394|0.2284|0.2394|0.2394|0.2394|0.0000|0.1915|0.0010|0.0000|0.0000|0.0000|0.2394|0.0000|0.2394|0.1632|0.1632|0.1632|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.1007
