folder,url,phish_category,pred_target,matched_domain,siamese_conf
facebook.com.awed.xyz,http://facebook.com.awed.xyz/f/login.php,1,Facebook,['facebook.com'],0.9568515
ebay.com.m.1itnn.com,http://ebay.com.m.1itnn.com/itm/2016-Ez-go-RXV-48V/66435234762/u/14914846/,0,eBay,['befr.ebay.be'],0.95670074
abantumarket.co.za,http://abantumarket.co.za/wp-content/plugins/js_composer/rad/7b968e3c6067a8cb7044c44deafe3787/,1,eBay,['befr.ebay.be'],0.9618999
event.pubgcompany.com,http://event.pubgcompany.com/login/facebook,1,Facebook,['facebook.com'],0.9889101
1cdaf644-ad3d-4b5e-9225-8751dbe9c11a.godaddysites.com,https://1cdaf644-ad3d-4b5e-9225-8751dbe9c11a.godaddysites.com/,1,AT&T,['att.com'],0.97998184
login.live.com.office.flagstarbancorp.myshn.net,https://login.live.com.office.flagstarbancorp.myshn.net/cookiesDisabled.srf?uaid=c9e2b063d2b84b09a56154b179d69121&mkt=EN-US&lc=1033,0,Microsoft,['microsoft.com'],0.9688045
bsfga.net,http://bsfga.net/Invoice/toda/,0,Microsoft,['microsoft.com'],0.96380687
pt.999wordpressdesign.com,https://pt.999wordpressdesign.com/drrr/post/china/logistics/index.php,1,EMS,['ems.com'],0.94416666
www.aislacontrol.com,http://www.aislacontrol.com/modules/1nd/a,1,1&1 Ionos,['ionos.com'],0.92133665
dropbox.bilgenart.com_duplicate,https://dropbox.bilgenart.com/e29f44204e175c37db77737801972870/login.php?cmd=login_submit&amp;id=5adbd2a58409ecee68810a99440cf4d15adbd2a58409ecee68810a99440cf4d1&amp;session=5adbd2a58409ecee68810a99440cf4d15adbd2a58409ecee68810a99440cf4d1,1,Dropbox,['dropbox.com'],0.9677458
shadetreetechnology.com,http://shadetreetechnology.com/V4/validation/bf32e18dc44adb14ca4e70b510e6aea6,1,PayPal,['paypal.com'],0.9540637
controlware.com.bd,http://controlware.com.bd/wwwwww/china/logistic/intraship/emss.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&fid.13InboxLight.aspxn.1774256418&fid.125289964252813InboxLight99642_Product-email&email=ouazzani@zitron.com,1,EMS,['ems.com'],0.94416666
oactdocs-web-doc.ga_duplicate,https://oactdocs-web-doc.ga/adobe/email/security,0,,,0.7781273
nl.thelittleglutenfreekitchenco.com,http://nl.thelittleglutenfreekitchenco.com/post/china/logistics/ems.php?email=,1,EMS,['ems.com'],0.94416666
rac3dspbd.com,https://rac3dspbd.com/boa/bankofamerica/91549edf/,1,Bank of America,"['bankofamerica.com', 'merrilledge.com']",0.97761714
drwilliamkuehnling.org,https://drwilliamkuehnling.org/wsw/Validation/login.php?cmd=login_submit&id=d55467792909a448de3b4ec1dbbc8e54d55467792909a448de3b4ec1dbbc8e54&session=d55467792909a448de3b4ec1dbbc8e54d55467792909a448de3b4ec1dbbc8e54,0,,,0.82189786
perucreartebtl.com,https://perucreartebtl.com/outlook-owaphp/?ss=2&ea=bponationalsamplecenter@armstrongceilings.com&session=ab9c043fb42fb4e58d0885af56c514ccab9c043fb42fb4e58d0885af56c514cc,1,Microsoft,['microsoft.com'],0.9645405
cynthialoy.com_duplicate,http://cynthialoy.com/.invoice/login.php,0,,,0.7993984
oglanews.com,https://oglanews.com/wp-content/Apple-ID.html,1,Apple,"['apple.com', 'icloud.com']",0.93624043
gps4you.net,https://gps4you.net/wp/wp-content/wzAsqdFkywXpDYEp/AfpQNbCUCTLMbGTy/OWA-AUT/index.html,1,Microsoft,['microsoft.com'],0.92456955
bahankuliahonline.com,https://bahankuliahonline.com/signin/ebayde/ws/eBayISAPI/dllSignInru/index.htm,1,eBay,['befr.ebay.be'],0.97604424
www.linkverified.uk,http://www.linkverified.uk/www.ebay.co.uk/itm/view/126548795655/,1,eBay,['befr.ebay.be'],0.97191423
medical-news-reporting.com,http://medical-news-reporting.com/zebc049e313/c8e95a14b677899d05b624e3/index.php?id=226bf3370e101d1c93c02298155dae0f,1,Microsoft,['microsoft.com'],0.9787863
lazarus.co.zw,http://lazarus.co.zw/dft/PDFFILE,0,,,0.7692941
blog.cellprofiler.org,https://blog.cellprofiler.org/192837560311ocKontaktiert3A2F2F2Fws2FISAPIdllFM2MContact26item3D14276952031426requested3Kundenservice-redacted@email.html,1,eBay,['befr.ebay.be'],0.96989816
eyudt.top,http://eyudt.top/pay/paypal,0,PayPal,['paypal.com'],0.9576648
lifescapeservices-inv.ml,http://lifescapeservices-inv.ml/adobe/email/security/,0,,,0.7781273
bestuniqueblogz.com,https://bestuniqueblogz.com/wp-includes/s1/EMS/intraship/emss.php?l=_JeHFUq_VJOXK0QWHtoGYDw1774256418&,0,,,
designfitters.com,http://designfitters.com/poster/adobe,0,,,0.81395054
eitfirst.com,http://eitfirst.com/zoom-inf2o28122/appsuite,1,Microsoft,['microsoft.com'],0.96152073
netflix.login-update.again-member.com,http://netflix.login-update.again-member.com/Files/Login.php,1,Netflix,['netflix.com'],0.98502696
baxterchidev.com,http://baxterchidev.com/escrow-cd/onedrive-RD46,1,Microsoft,['microsoft.com'],0.9691344
distinctfreight.co.zw,http://distinctfreight.co.zw/fgjj/PDFFILE/,0,,,0.7633156
ailsd.duckdns.org,https://ailsd.duckdns.org/at/attpho/index.html,1,AT&T,['att.com'],0.8742802
9dollarsintothousands.com,http://9dollarsintothousands.com/wp-includes/Text/Diff/Engine/wp-content/Login.htm,1,Alibaba,"['alibaba.com', 'tanx.com']",0.9395684
