folder,url,has_logo,brand_matched,brand_confidence,domain_brand_mismatch,has_login_elements,has_password_field,page_has_security_indicators,image_quality_score,logo_size_proportion,logo_position_typical,used_gpt_detection,gpt_confidence,is_crp,domain_match_score,phish_score
ru.russianmastercach-republick.xyz,https://ru.russianmastercach-republick.xyz/,1.0,1.0,0.9677861332893372,1.0,0.0,0.0,1.0,0.8,0.014899237291888062,0.0,0.0,0.0,0.0,0.0,0.6
www.paypal.com,https://www.paypal.com/signin,1.0,1.0,0.8731025457382202,0.0,1.0,1.0,1.0,0.8,0.04167940556644084,0.0,0.0,0.0,1.0,1.0,0.0
dio'sWebsite,https://tiffanybao.netlify.app/,1.0,0.0,0.6860439777374268,0.0,0.0,0.0,1.0,0.5,0.003343472731222217,0.0,1.0,0.0,0.0,0.0,0.0
Absa Group+2020-09-14-16`49`20,http://arandasrestaurant.com/?caf=1&bpt=345&viks=c3V6aWVAaWRlYWVuZ2luZWVycy5jby56YQ%3D%3D&query=Restaurant+Menu&afdToken=ChMI6cSLxtHCjAMVUg9ZBR1kFgpYEnwBlLqpj3qtKrG2jr9OlAfEYImy74P1Z2qpewXQDwT6hzUDWeOinDWRPGklp5bKjRfU_-G39XYCLQCqv1OxfueJNEvsD5LFW3LdRqnWNVnAuSm5rrjf8FXSESeh_kt32Fyiq97ldbGI0-gU-rbZf149Qgj3yialtJUQ6HlcIAE&pcsa=false&nb=0&nm=2&nx=331&ny=45&is=700x363&clkt=3,1.0,1.0,0.9322731494903564,1.0,0.0,0.0,0.0,0.8,0.0028496969603411153,0.0,0.0,0.0,0.0,0.0,0.6
tiffanyWebForDynamicTesting,https://tiffanybao.netlify.app/login,1.0,1.0,0.8731025457382202,1.0,1.0,1.0,1.0,0.8,0.04167940556644084,0.0,0.0,0.0,1.0,0.0,1.0
apple.com,https://account.apple.com/,1.0,1.0,0.85,0.0,0.0,0.0,1.0,0.7,0.004023463626596445,0.0,1.0,0.85,0.0,1.0,0.0
Amazon.com Inc.+2020-07-16-09`43`27,http://sezamplus.com/wp-content/zon/67a75/,1.0,1.0,0.973565399646759,1.0,1.0,0.0,0.0,0.8,0.002933562007951148,0.0,0.0,0.0,1.0,0.0,1.0
accounts.g.cdcde.com,https://accounts.g.cdcde.com/ServiceLogin?passive=1209600&osid=1&continue=https://plus.g.cdcde.com/&followup=https://plus.g.cdcde.com/,1.0,1.0,0.9679242372512817,1.0,1.0,1.0,1.0,0.8,0.0012461999021930459,0.0,0.0,0.0,1.0,0.0,1.0
kiewguide.com,http://kiewguide.com/umde/Absa%20Online%20-%20PROFILE.htm,1.0,1.0,0.9388012886047363,1.0,1.0,0.0,0.0,0.8,0.007764365744043874,0.0,0.0,0.0,1.0,0.0,1.0
faketiffany'sWebsite,https://tiffanybao.netlify.app/#projects,1.0,0.0,0.6860439777374268,0.0,0.0,0.0,1.0,0.5,0.003343472731222217,0.0,1.0,0.0,0.0,0.0,0.0
Apple Inc.+2019-08-18-17`23`17,https://www.domainorder.nl/register/?ref=so&dn=deltaweb.be,1.0,1.0,0.8805813193321228,1.0,1.0,1.0,1.0,0.8,0.00953124935137985,0.0,0.0,0.0,1.0,0.0,1.0
1&1 Ionos+2019-07-28-22`34`40,http://serv-acamai.com/1und1/de/index.php,1.0,1.0,0.85,1.0,1.0,0.0,0.0,0.7,0.004057243271067984,0.0,1.0,0.85,1.0,0.0,1.0
ru.russianmastercach-republick.xyz,https://ru.russianmastercach-republick.xyz/,1.0,1.0,0.9677867293357849,1.0,0.0,0.0,1.0,0.8,0.014896379039087406,0.0,0.0,0.0,0.0,0.0,0.6
www.paypal.com,https://www.paypal.com/signin,1.0,1.0,0.8731050491333008,0.0,1.0,1.0,1.0,0.8,0.041680395793205365,0.0,0.0,0.0,1.0,1.0,0.0
dio'sWebsite,https://tiffanybao.netlify.app/,1.0,0.0,0.6860459446907043,0.0,0.0,0.0,1.0,0.5,0.0033434554639777654,0.0,1.0,0.0,0.0,0.0,0.0
