folder,url,has_logo,brand_matched,brand_confidence,domain_brand_mismatch,has_login_elements,has_password_field,page_has_security_indicators,image_quality_score,logo_size_proportion,logo_position_typical,used_gpt_detection,gpt_confidence,is_crp,domain_match_score,phish_score
mail.wereldpas-vervang.com,http://mail.wereldpas-vervang.com/klanten_verificatie.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batagorasyik.id_duplicate,http://batagorasyik.id/breder/cp_webmail/cpwebmail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
businesspromoted.com,https://businesspromoted.com/wordpress/.../home/new.new.american.express.support/home?cmd=www.ssaonline-account-service.com-update_submit&id=1fbbb1f4fb181bfb1e6847e71e08a2361fbbb1f4fb181bfb1e6847e71e08a236&session=1fbbb1f4fb181bfb1e6847e71e08a2361fbbb1f4fb181bfb1e6847e71e08a236,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.update-aol2020.com.accaccess.com,https://www.update-aol2020.com.accaccess.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hisanaga-stone.com,http://hisanaga-stone.com/diarypro/data/upfile/350/New-Blockchain/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
itbgiso.keltron.in,http://itbgiso.keltron.in/ftra/pluhin/login/webmail/Webmail%20Login.php,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alaskausaa-secure.dynserv.org_duplicate,http://alaskausaa-secure.dynserv.org/security.php?cmd=login_submit&id=&session=,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barclays.hcbon-en.com,https://barclays.hcbon-en.com/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
myee.authorisationsecured.com,https://myee.authorisationsecured.com/account,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.snstechnicalsupport.com_duplicate,http://www.snstechnicalsupport.com/snsbackups/chain/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
www.agrandfamilyadventure.com_duplicate,http://www.agrandfamilyadventure.com/wp-content/webmailplan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
customer-eehelp.com,http://customer-eehelp.com/banks/bank.barclays.co.uk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
geaswer.com_duplicate,https://geaswer.com/square,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serviciosclientesmultired1bn.xyz,https://serviciosclientesmultired1bn.xyz/BNWeb/lnicio/,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bt.business.iurycosta.com,http://bt.business.iurycosta.com/2/bt3.htm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
