folder,url,has_logo,brand_matched,brand_confidence,domain_brand_mismatch,has_login_elements,has_password_field,page_has_security_indicators,image_quality_score,logo_size_proportion,logo_position_typical,used_gpt_detection,gpt_confidence,is_crp,domain_match_score,phish_score
www.purepaypal.com ,https://www.paypal.com/signin,1.0,1.0,0.8730762600898743,0.0,1.0,1.0,1.0,0.8,0.0009606371186027027,0.0,0.0,0.0,0.0,1.0,0.0
ru.russianmastercach-republick.xyz,https://ru.russianmastercach-republick.xyz/,1.0,1.0,0.9677867889404297,1.0,0.0,0.0,1.0,0.8,0.014896926042081784,0.0,0.0,0.0,0.0,0.0,0.6
www.paypal.com,https://www.paypal.com/signin,1.0,1.0,0.8730762600898743,0.0,1.0,1.0,1.0,0.8,0.0009606278622526249,0.0,0.0,0.0,0.0,1.0,0.0
dio'sWebsite,https://tiffanybao.netlify.app/,1.0,0.0,0.68604576587677,0.0,0.0,0.0,1.0,0.5,0.003343454384774987,0.0,1.0,0.0,0.0,0.0,0.0
Absa Group+2020-09-14-16`49`20,http://arandasrestaurant.com/wp-content/themes/generatepress/pweb/rmida/?viks=c3V6aWVAaWRlYWVuZ2luZWVycy5jby56YQ==,1.0,1.0,0.9322687387466431,1.0,0.0,0.0,0.0,0.8,0.0024828849604100357,0.0,0.0,0.0,0.0,0.0,0.6
tiffanyWebForDynamicTesting,https://tiffanybao.netlify.app/login,1.0,1.0,0.9067229628562927,1.0,1.0,1.0,1.0,0.8,0.0045502422466541575,0.0,0.0,0.0,0.0,0.0,0.6
apple.com,https://account.apple.com/,1.0,1.0,0.85,0.0,0.0,0.0,1.0,0.7,0.00402341044068511,0.0,1.0,0.85,0.0,1.0,0.0
accounts.g.cdcde.com,https://accounts.g.cdcde.com/ServiceLogin?passive=1209600&osid=1&continue=https://plus.g.cdcde.com/&followup=https://plus.g.cdcde.com/,1.0,1.0,0.9679253101348877,1.0,1.0,1.0,1.0,0.8,0.001246288205370491,0.0,0.0,0.0,1.0,0.0,1.0
kiewguide.com,http://kiewguide.com/umde/Absa%20Online%20-%20PROFILE.htm,1.0,1.0,0.9387905597686768,1.0,1.0,0.0,0.0,0.8,0.007764372725554244,0.0,0.0,0.0,1.0,0.0,1.0
faketiffany'sWebsite,https://tiffanybao.netlify.app/#projects,1.0,0.0,0.68604576587677,0.0,0.0,0.0,1.0,0.5,0.003343454384774987,0.0,1.0,0.0,0.0,0.0,0.0
1&1 Ionos+2019-07-28-22`34`40,http://serv-acamai.com/1und1/de/index.php,1.0,1.0,0.85,1.0,1.0,0.0,0.0,0.7,0.004057359696499289,0.0,1.0,0.85,1.0,0.0,1.0
